sprung nr.,start_ana,end_ana,ana_dauer,peak_to_peak_dauer,t_absprung,t_landung,messung
1,7.2395,9.168,1.9285,0.4285,7.9895,8.418,REAL_1
2,15.39,17.331,1.941,0.441,16.14,16.581,REAL_1
3,23.3355,25.2695,1.934,0.434,24.0855,24.5195,REAL_1
4,31.144,33.1075,1.9635,0.4635,31.894,32.3575,REAL_1
5,39.0015,40.9435,1.942,0.442,39.7515,40.1935,REAL_1
6,47.2185,49.1435,1.925,0.425,47.9685,48.3935,REAL_1
1,11.0645,13.008,1.9435,0.4435,11.8145,12.258,REAL_2
2,19.2425,21.214,1.9715,0.4715,19.9925,20.464,REAL_2
3,27.248,29.212,1.964,0.464,27.998,28.462,REAL_2
4,35.2665,37.2215,1.955,0.455,36.0165,36.4715,REAL_2
5,43.1965,45.1455,1.949,0.449,43.9465,44.3955,REAL_2
6,51.2635,53.2055,1.942,0.442,52.0135,52.4555,REAL_2
1,9.2175,11.166,1.9485,0.4485,9.9675,10.416,VR_1
2,17.3915,19.3265,1.935,0.435,18.1415,18.5765,VR_1
3,25.2865,27.259,1.9725,0.4725,26.0365,26.509,VR_1
4,33.4405,35.416,1.9755,0.4755,34.1905,34.666,VR_1
5,41.4575,43.4465,1.989,0.489,42.2075,42.6965,VR_1
6,49.486,51.4675,1.9815,0.4815,50.236,50.7175,VR_1
1,9.972,11.944,1.972,0.472,10.722,11.194,VR_2
2,18.0585,20.021,1.9625,0.4625,18.8085,19.271,VR_2
3,26.071,28.0685,1.9975,0.4975,26.821,27.3185,VR_2
4,34.16,36.1345,1.9745,0.4745,34.91,35.3845,VR_2
5,42.266,44.257,1.991,0.491,43.016,43.507,VR_2
6,50.243,52.171,1.928,0.428,50.993,51.421,VR_2
