sprung nr.,start_ana,end_ana,ana_dauer,peak_to_peak_dauer,t_absprung,t_landung,messung
1,9.067,10.986,1.919,0.419,9.817,10.236,REAL_1
2,16.926,18.82,1.894,0.394,17.676,18.07,REAL_1
3,25.3125,27.2365,1.924,0.424,26.0625,26.4865,REAL_1
4,33.4505,35.318,1.8675,0.3675,34.2005,34.568,REAL_1
5,41.7935,43.717,1.9235,0.4235,42.5435,42.967,REAL_1
6,49.6835,51.5785,1.895,0.395,50.4335,50.8285,REAL_1
1,3.5105,5.474,1.9635,0.4635,4.2605,4.724,REAL_2
2,11.414,13.3855,1.9715,0.4715,12.164,12.6355,REAL_2
3,19.362,21.318,1.956,0.456,20.112,20.568,REAL_2
4,27.3975,29.3335,1.936,0.436,28.1475,28.5835,REAL_2
5,35.6315,37.5955,1.964,0.464,36.3815,36.8455,REAL_2
1,10.8635,12.7545,1.891,0.391,11.6135,12.0045,VR_1
2,18.832,20.783,1.951,0.451,19.582,20.033,VR_1
3,26.8795,28.8455,1.966,0.466,27.6295,28.0955,VR_1
4,34.952,36.894,1.942,0.442,35.702,36.144,VR_1
5,42.9995,44.952,1.9525,0.4525,43.7495,44.202,VR_1
6,51.038,53.0035,1.9655,0.4655,51.788,52.2535,VR_1
1,2.328,4.274,1.946,0.446,3.078,3.524,VR_2
2,10.476,12.355,1.879,0.379,11.226,11.605,VR_2
