sprung nr.,start_ana,end_ana,ana_dauer,peak_to_peak_dauer,t_absprung,t_landung,messung
1,5.089,7.0255,1.9365,0.4365,5.839,6.2755,REAL_1
2,13.9335,15.8965,1.963,0.463,14.6835,15.1465,REAL_1
3,22.017,23.9145,1.8975,0.3975,22.767,23.1645,REAL_1
4,29.1955,31.114,1.9185,0.4185,29.9455,30.364,REAL_1
5,37.7115,39.6645,1.953,0.453,38.4615,38.9145,REAL_1
6,46.084,48.006,1.922,0.422,46.834,47.256,REAL_1
1,7.8365,9.766,1.9295,0.4295,8.5865,9.016,REAL_2
2,15.98,17.9055,1.9255,0.4255,16.73,17.1555,REAL_2
3,24.071,25.975,1.904,0.404,24.821,25.225,REAL_2
4,33.0735,34.932,1.8585,0.3585,33.8235,34.182,REAL_2
5,40.2445,42.085,1.8405,0.3405,40.9945,41.335,REAL_2
6,48.207,50.1655,1.9585,0.4585,48.957,49.4155,REAL_2
1,8.5765,10.579,2.0025,0.5025,9.3265,9.829,VR_1
2,16.5675,18.584,2.0165,0.5165,17.3175,17.834,VR_1
3,24.638,26.639,2.001,0.501,25.388,25.889,VR_1
4,32.612,34.629,2.017,0.517,33.362,33.879,VR_1
5,40.7335,42.747,2.0135,0.5135,41.4835,41.997,VR_1
6,48.8225,50.828,2.0055,0.5055,49.5725,50.078,VR_1
1,8.725,10.6875,1.9625,0.4625,9.475,9.9375,VR_2
2,16.7395,18.7495,2.01,0.51,17.4895,17.9995,VR_2
3,24.768,26.7955,2.0275,0.5275,25.518,26.0455,VR_2
4,32.835,34.817,1.982,0.482,33.585,34.067,VR_2
5,40.8975,42.9255,2.028,0.528,41.6475,42.1755,VR_2
6,48.9925,51.0065,2.014,0.514,49.7425,50.2565,VR_2
