sprung nr.,start_ana,end_ana,ana_dauer,peak_to_peak_dauer,t_absprung,t_landung,messung
1,11.5785,13.5425,1.964,0.464,12.3285,12.7925,REAL_1
2,19.7525,21.607,1.8545,0.3545,20.5025,20.857,REAL_1
3,26.7735,28.793,2.0195,0.5195,27.5235,28.043,REAL_1
4,35.2455,37.2465,2.001,0.501,35.9955,36.4965,REAL_1
5,43.4905,45.4725,1.982,0.482,44.2405,44.7225,REAL_1
6,51.537,53.4365,1.8995,0.3995,52.287,52.6865,REAL_1
1,7.3915,9.3565,1.965,0.465,8.1415,8.6065,REAL_2
2,15.55,17.494,1.944,0.444,16.3,16.744,REAL_2
3,23.435,25.445,2.01,0.51,24.185,24.695,REAL_2
4,31.226,33.202,1.976,0.476,31.976,32.452,REAL_2
5,39.7645,41.689,1.9245,0.4245,40.5145,40.939,REAL_2
6,47.34,49.345,2.005,0.505,48.09,48.595,REAL_2
1,3.4885,5.4865,1.998,0.498,4.2385,4.7365,VR_1
2,11.555,13.5315,1.9765,0.4765,12.305,12.7815,VR_1
3,19.6,21.57,1.97,0.47,20.35,20.82,VR_1
4,27.64,29.6175,1.9775,0.4775,28.39,28.8675,VR_1
5,35.693,37.682,1.989,0.489,36.443,36.932,VR_1
6,43.7875,45.7645,1.977,0.477,44.5375,45.0145,VR_1
1,10.019,12.0265,2.0075,0.5075,10.769,11.2765,VR_2
2,18.1115,20.0985,1.987,0.487,18.8615,19.3485,VR_2
3,26.093,28.0825,1.9895,0.4895,26.843,27.3325,VR_2
4,34.181,36.125,1.944,0.444,34.931,35.375,VR_2
5,42.2125,44.1995,1.987,0.487,42.9625,43.4495,VR_2
6,50.27,52.2415,1.9715,0.4715,51.02,51.4915,VR_2
