sprung nr.,start_ana,end_ana,ana_dauer,peak_to_peak_dauer,t_absprung,t_landung,messung
1,10.452,12.415,1.963,0.463,11.202,11.665,REAL_1
2,17.651,19.605,1.954,0.454,18.401,18.855,REAL_1
3,26.4755,28.4145,1.939,0.439,27.2255,27.6645,REAL_1
4,34.432,36.342,1.91,0.41,35.182,35.592,REAL_1
5,42.823,44.8045,1.9815,0.4815,43.573,44.0545,REAL_1
6,50.7035,52.6745,1.971,0.471,51.4535,51.9245,REAL_1
1,10.191,12.129,1.938,0.438,10.941,11.379,REAL_2
2,17.4035,19.385,1.9815,0.4815,18.1535,18.635,REAL_2
3,25.4395,27.418,1.9785,0.4785,26.1895,26.668,REAL_2
4,33.5655,35.5195,1.954,0.454,34.3155,34.7695,REAL_2
5,42.045,44.0155,1.9705,0.4705,42.795,43.2655,REAL_2
6,50.023,51.975,1.952,0.452,50.773,51.225,REAL_2
1,10.035,11.9845,1.9495,0.4495,10.785,11.2345,VR_1
2,18.235,20.1715,1.9365,0.4365,18.985,19.4215,VR_1
3,26.219,28.167,1.948,0.448,26.969,27.417,VR_1
4,34.1835,36.021,1.8375,0.3375,34.9335,35.271,VR_1
5,42.3,44.2485,1.9485,0.4485,43.05,43.4985,VR_1
6,50.36,52.3245,1.9645,0.4645,51.11,51.5745,VR_1
1,9.928,11.8705,1.9425,0.4425,10.678,11.1205,VR_2
2,17.95,19.9355,1.9855,0.4855,18.7,19.1855,VR_2
3,26.041,28.025,1.984,0.484,26.791,27.275,VR_2
4,34.1165,36.095,1.9785,0.4785,34.8665,35.345,VR_2
5,42.1485,44.12,1.9715,0.4715,42.8985,43.37,VR_2
6,50.221,52.148,1.927,0.427,50.971,51.398,VR_2
