sprung nr.,start_ana,end_ana,ana_dauer,peak_to_peak_dauer,t_absprung,t_landung,messung
1,5.348,7.3615,2.0135,0.5135,6.098,6.6115,REAL_1
2,13.6285,15.62,1.9915,0.4915,14.3785,14.87,REAL_1
3,21.1705,23.163,1.9925,0.4925,21.9205,22.413,REAL_1
4,30.202,32.2245,2.0225,0.5225,30.952,31.4745,REAL_1
5,37.0955,39.0745,1.979,0.479,37.8455,38.3245,REAL_1
6,45.644,47.6775,2.0335,0.5335,46.394,46.9275,REAL_1
1,8.7205,10.6935,1.973,0.473,9.4705,9.9435,REAL_2
2,16.394,18.3575,1.9635,0.4635,17.144,17.6075,REAL_2
3,24.713,26.707,1.994,0.494,25.463,25.957,REAL_2
4,32.495,34.4865,1.9915,0.4915,33.245,33.7365,REAL_2
5,41.1215,43.1095,1.988,0.488,41.8715,42.3595,REAL_2
6,48.114,50.1045,1.9905,0.4905,48.864,49.3545,REAL_2
1,10.8115,12.757,1.9455,0.4455,11.5615,12.007,VR_1
2,18.929,20.867,1.938,0.438,19.679,20.117,VR_1
3,26.9355,28.8945,1.959,0.459,27.6855,28.1445,VR_1
4,34.939,36.906,1.967,0.467,35.689,36.156,VR_1
5,43.0225,45.0155,1.993,0.493,43.7725,44.2655,VR_1
6,51.0815,53.085,2.0035,0.5035,51.8315,52.335,VR_1
1,8.841,10.8155,1.9745,0.4745,9.591,10.0655,VR_2
2,16.963,18.929,1.966,0.466,17.713,18.179,VR_2
3,25.0515,26.996,1.9445,0.4445,25.8015,26.246,VR_2
4,33.0695,34.993,1.9235,0.4235,33.8195,34.243,VR_2
5,41.149,43.156,2.007,0.507,41.899,42.406,VR_2
6,49.2305,51.2345,2.004,0.504,49.9805,50.4845,VR_2
