sprung nr.,start_ana,end_ana,ana_dauer,peak_to_peak_dauer,t_absprung,t_landung,messung
1,13.8245,15.6745,1.85,0.35,14.5745,14.9245,REAL_1
2,21.6825,23.581,1.8985,0.3985,22.4325,22.831,REAL_1
3,29.8445,31.755,1.9105,0.4105,30.5945,31.005,REAL_1
4,37.437,39.345,1.908,0.408,38.187,38.595,REAL_1
5,45.473,47.406,1.933,0.433,46.223,46.656,REAL_1
6,53.731,55.6365,1.9055,0.4055,54.481,54.8865,REAL_1
1,3.457,5.365,1.908,0.408,4.207,4.615,REAL_2
2,11.065,12.996,1.931,0.431,11.815,12.246,REAL_2
3,18.7695,20.688,1.9185,0.4185,19.5195,19.938,REAL_2
4,26.876,28.833,1.957,0.457,27.626,28.083,REAL_2
5,34.8595,36.792,1.9325,0.4325,35.6095,36.042,REAL_2
6,42.758,44.706,1.948,0.448,43.508,43.956,REAL_2
1,10.6745,12.6145,1.94,0.44,11.4245,11.8645,VR_1
2,18.738,20.665,1.927,0.427,19.488,19.915,VR_1
3,26.68,28.637,1.957,0.457,27.43,27.887,VR_1
4,34.812,36.756,1.944,0.444,35.562,36.006,VR_1
5,42.765,44.7215,1.9565,0.4565,43.515,43.9715,VR_1
6,50.904,52.836,1.932,0.432,51.654,52.086,VR_1
1,9.8415,11.7765,1.935,0.435,10.5915,11.0265,VR_2
2,17.9505,19.8985,1.948,0.448,18.7005,19.1485,VR_2
3,25.956,27.906,1.95,0.45,26.706,27.156,VR_2
4,34.0285,35.9745,1.946,0.446,34.7785,35.2245,VR_2
5,42.021,43.98,1.959,0.459,42.771,43.23,VR_2
6,50.079,52.049,1.97,0.47,50.829,51.299,VR_2
