sprung nr.,start_analyse,t_absprung,messung
1,10.3045,11.0045,REAL_1
2,18.43,19.13,REAL_1
3,26.3845,27.0845,REAL_1
4,34.21,34.91,REAL_1
5,42.045,42.745,REAL_1
6,50.27,50.97,REAL_1
1,11.1025,11.8025,REAL_2
2,19.2875,19.9875,REAL_2
3,27.2975,27.9975,REAL_2
4,35.3275,36.0275,REAL_2
5,43.2625,43.9625,REAL_2
6,51.307,52.007,REAL_2
1,9.4095,10.1095,VR_1
2,17.579,18.279,VR_1
3,25.529,26.229,VR_1
4,33.684,34.384,VR_1
5,41.7045,42.4045,VR_1
6,49.7145,50.4145,VR_1
1,10.118,10.818,VR_2
2,18.233,18.933,VR_2
3,26.2575,26.9575,VR_2
4,34.3225,35.0225,VR_2
5,42.448,43.148,VR_2
6,50.418,51.118,VR_2
