sprung nr.,start_analyse,t_absprung,messung
1,5.2545,5.9545,REAL_1
2,14.09,14.79,REAL_1
3,22.18,22.88,REAL_1
4,29.365,30.065,REAL_1
5,37.8845,38.5845,REAL_1
6,46.2445,46.9445,REAL_1
1,7.9715,8.6715,REAL_2
2,16.1315,16.8315,REAL_2
3,24.2115,24.9115,REAL_2
4,33.1715,33.8715,REAL_2
5,40.3065,41.0065,REAL_2
6,48.3465,49.0465,REAL_2
1,8.6935,9.3935,VR_1
2,16.6735,17.3735,VR_1
3,24.7485,25.4485,VR_1
4,32.733,33.433,VR_1
5,40.853,41.553,VR_1
6,48.953,49.653,VR_1
1,8.8975,9.5975,VR_2
2,16.923,17.623,VR_2
3,24.968,25.668,VR_2
4,33.008,33.708,VR_2
5,41.113,41.813,VR_2
6,49.213,49.913,VR_2
