sprung nr.,start_analyse,t_absprung,messung
1,10.96,11.66,REAL_1
2,18.1505,18.8505,REAL_1
3,26.97,27.67,REAL_1
4,34.9155,35.6155,REAL_1
5,43.34,44.04,REAL_1
6,51.2105,51.9105,REAL_1
1,10.335,11.035,REAL_2
2,17.54,18.24,REAL_2
3,25.5505,26.2505,REAL_2
4,33.69,34.39,REAL_2
5,42.1805,42.8805,REAL_2
6,50.1655,50.8655,REAL_2
1,10.151,10.851,VR_1
2,18.3605,19.0605,VR_1
3,26.311,27.011,VR_1
4,34.3005,35.0005,VR_1
5,42.4105,43.1105,VR_1
6,50.4655,51.1655,VR_1
1,10.1295,10.8295,VR_2
2,18.16,18.86,VR_2
3,26.245,26.945,VR_2
4,34.32,35.02,VR_2
5,42.3545,43.0545,VR_2
6,50.395,51.095,VR_2
