sprung nr.,start_analyse,t_absprung,messung
1,13.882,14.582,REAL_1
2,21.802,22.502,REAL_1
3,29.9775,30.6775,REAL_1
4,37.562,38.262,REAL_1
5,45.647,46.347,REAL_1
6,53.8625,54.5625,REAL_1
1,3.616,4.316,REAL_2
2,11.231,11.931,REAL_2
3,18.9605,19.6605,REAL_2
4,27.066,27.766,REAL_2
5,35.016,35.716,REAL_2
6,42.951,43.651,REAL_2
1,10.882,11.582,VR_1
2,18.9525,19.6525,VR_1
3,26.8975,27.5975,VR_1
4,35.037,35.737,VR_1
5,42.992,43.692,VR_1
6,51.1275,51.8275,VR_1
1,10.089,10.789,VR_2
2,18.199,18.899,VR_2
3,26.2045,26.9045,VR_2
4,34.2745,34.9745,VR_2
5,42.284,42.984,VR_2
6,50.344,51.044,VR_2
