idx;RT BICEPS FEM_REAL;RT BICEPS FEM_VR;RT MED GASTRO_REAL;RT MED GASTRO_VR;RT VLO_REAL;RT VLO_VR
1;36.812152973272475;22.614114532109493;55.843712921801725;78.22692810554041;92.42561645496798;96.36179316007225
2;27.460277202959205;32.40880611407595;69.08548262645179;94.05171770816489;78.55509588601312;71.78396339417684
3;21.17117555122647;37.506971496118034;74.85554775655152;79.10691127560479;136.25831265209737;82.85181910817465
4;24.75183392512857;35.31652788120036;68.53022634373123;112.32707310666983;111.22527470091022;81.44335754137116
5;34.16986502103189;31.888352666667075;76.20106740052154;66.38926895385052;76.98099584947452;79.17576939076423
6;31.45896231908684;24.229866790422907;62.24340782696576;81.43358804982856;97.87408362263848;73.5775778797406
7;;16.047121064495343;67.10536738257721;71.4307603287993;77.14309318805887;97.95066063092412
8;;51.82234550512672;82.9239057420061;70.73993360886564;97.06757669396106;87.2189959216272
9;;54.337158317446544;90.80199405209291;71.44031724050073;91.28249222521966;97.35487069710292
10;;15.703380710339673;73.96329490415886;60.91001937170021;88.48799180706375;65.81756176991136
11;;65.8062142679923;74.19237802122043;84.5598880766932;93.69272820380323;95.13589514588749
12;;46.633596290295436;79.96798540589253;69.43185020822557;99.51377739301493;87.7816709067077
