idx;RT BICEPS FEM_REAL;RT BICEPS FEM_VR;RT MED GASTRO_REAL;RT MED GASTRO_VR;RT VLO_REAL;RT VLO_VR
1;52.28781056145937;44.316243943848384;108.71732464349823;84.64274412958922;128.2394053376217;89.01899889793523
2;64.85732781819021;24.669457546162498;92.19307700073803;76.14577344082461;99.59888859398175;97.77603042401655
3;78.39840394332559;33.48934478479185;88.61394179318928;78.83130797715963;86.56251344866142;104.54510899364821
4;30.880815078870246;17.731984447900526;102.12854600487;63.17778501539502;109.13235167419637;105.26876081761398
5;41.70354063481715;40.604306577794496;76.95070281558941;93.69465194530213;101.57638279258781;115.07393798737388
6;52.1078612341698;50.503756426971236;95.39850110923452;89.92411429458797;109.28585382104548;98.2069622650166
7;;;80.31020097624685;86.81414070673313;94.68602887963074;77.21442958495454
8;;;80.58815542831698;66.76791137648723;103.08575508964795;142.41853598557907
9;;;94.73303674359992;74.29885189673193;87.53898342284079;88.6959834643288
10;;;95.99875715443666;73.20357451944207;96.41475002420646;125.50966710740671
11;;;86.7218081278229;80.0478108158726;107.3299476590311;117.14865326764796
12;;;89.6019501293319;;90.28826875345734;
