idx;RT BICEPS FEM_REAL_mean;RT BICEPS FEM_VR_mean;RT MED GASTRO_REAL_mean;RT MED GASTRO_VR_mean;RT VLO_REAL_mean;RT VLO_VR_mean
1;11.165054063932171;11.851498624983757;18.141155399022534;20.258709223323166;24.408483846574455;41.11557893785153
2;9.859818702056053;13.409656247514596;18.579055081238344;21.27886376449454;21.915410846028617;40.65092849705187
3;13.337511675532776;11.317250048676565;17.296541116884892;16.614876655950727;32.34701246755956;34.30438482738997
4;10.854391520234792;9.68637595704236;23.984860063462943;21.88657370079907;28.0120895689095;37.57150440923739
5;10.438119472015643;11.007697515360205;20.60501961725654;19.898615488244694;25.83879260440731;33.36636830623975
6;8.170323075352151;11.019005277740888;18.387289190498596;20.61463151696257;29.609364075127296;38.320667594318074
7;8.553586601068762;14.339142774918582;15.863144180153432;18.657224815881513;29.094351694295863;34.456505437991154
8;10.509184662408046;14.441202866586416;21.857597432416075;15.239819652167906;35.27529667862417;37.71634215793249
9;11.205157837426427;13.131443552097483;16.51128446083386;19.26756250973613;38.77609997448924;40.74432241063022
10;9.486190392096011;12.305146392728414;17.87287923308782;16.992459299673794;34.39017266315379;34.490313760916564
11;9.922664286634866;16.334670287564258;19.64446312707311;21.294095573591118;24.92103269056059;39.45238916645227
12;9.594103445901144;10.944840643566229;18.494053203471896;16.783545704405768;33.57416539390791;37.81906395227477
