idx;RT BICEPS FEM_REAL_mean;RT BICEPS FEM_VR_mean;RT MED GASTRO_REAL_mean;RT MED GASTRO_VR_mean;RT VLO_REAL_mean;RT VLO_VR_mean
1;24.653149560543916;30.960624858370284;20.278698499875237;15.28910573996774;23.895621667320306;18.687615206272806
2;21.236389038511014;30.129115560234535;18.668619251858395;15.994669686452774;20.81446966653168;19.25473735337455
3;27.264105859067165;38.57724405452447;15.632823208601677;17.997507661435037;25.81856995867685;20.659441719096353
4;21.443111567137187;29.61070665300333;16.02122645334388;17.612410868330098;25.16983296076716;19.090090847038827
5;25.128302400284287;34.474087323896235;17.089212119602333;16.152508803156547;24.404829698322807;16.078787158630185
6;19.84535219496718;35.33169024234518;14.769139920200185;17.77831956734457;22.81142950820572;18.00703889956925
7;;33.10856466350901;16.82693533134873;19.460645019870395;23.62195406655586;16.435221661434444
8;;;16.428813824976885;;17.249728439371395;
9;;;17.303424592375624;;21.318454778948297;
10;;;14.23244035076826;;20.8199959807193;
11;;;16.84174253341944;;17.583473922901973;
