idx;RT BICEPS FEM_REAL_mean;RT BICEPS FEM_VR_mean;RT MED GASTRO_REAL_mean;RT MED GASTRO_VR_mean;RT VLO_REAL_mean;RT VLO_VR_mean
1;7.724836282790557;7.55002047752669;11.286034305653168;15.700200399581714;22.813533581050184;27.59367170921811
2;6.061033630712196;7.576774307355122;15.253123527312393;16.548402934155682;23.846687015352504;24.65984012698626
3;5.798429542131228;8.950755552245404;12.203178711819648;14.307730204278386;25.98962591932513;25.529209620641886
4;5.056628229797088;6.97360447235654;11.869655873749899;17.680062836031052;24.671041174656885;25.439853163890632
5;6.402459604572854;7.204695101033174;14.580792402080148;13.640329899861522;19.943859659083692;23.39131748427181
6;8.339958819455608;8.165671045413067;10.992107789929662;14.393330087789169;25.26373006219954;25.760397490149757
7;;5.607884768180494;14.115180681025874;10.867643071159476;23.65559446881505;26.607009171538113
8;;9.128949603709874;11.794446996793193;12.353635013177321;24.60132681547518;26.01565793875984
9;;10.159322434389514;14.554761873601013;14.895769331770824;24.2781219926835;31.391524236714194
10;;4.472794557381237;12.376510762336952;12.719045811247343;23.01403368098647;23.25341782774374
11;;10.755320116337383;13.947719338205173;16.142051980637717;25.997555899035433;25.78847236135185
12;;8.6877441819158;15.99451564884428;14.056087573206568;23.062167146858787;24.076751988250155
