idx;RT BICEPS FEM_REAL_mean;RT BICEPS FEM_VR_mean;RT MED GASTRO_REAL_mean;RT MED GASTRO_VR_mean;RT VLO_REAL_mean;RT VLO_VR_mean
1;8.536541412229942;9.735981073036088;16.76648440295521;18.4204877172558;27.521072397787165;25.675235764920462
2;11.447820075478464;7.231217973836392;17.280708508094886;16.618931870153933;20.90382567537773;26.315829814080352
3;12.041153316448586;6.636317087450255;17.6260368067205;20.09348551021931;27.331488140757486;23.624774074073155
4;7.877113180263003;4.800348898707792;23.556832806079456;16.402923903420074;29.380082379254674;27.49229934267696
5;6.84217147923212;6.4355899394036316;17.90917584890844;19.014584265509665;24.3146206044549;23.700123407728146
6;10.66892556707767;7.905368314459868;17.73560765241785;19.551400258405895;23.474777539087075;26.84992248164529
7;;;17.114275799091367;14.839340685624657;22.690610414887768;28.262736873805853
8;;;13.939965922512991;16.905063714245603;19.64736397607555;27.730134815484085
9;;;17.914002713336664;14.305825982328772;23.68952650812354;19.930698035281985
10;;;17.892952665053016;16.701611325245636;26.513569611767842;29.257394146641104
11;;;17.817758949714747;18.475486403647132;27.650068343384724;28.97620787620101
12;;;17.789460279442867;;25.938192580367915;
