idx;RT BICEPS FEM_REAL_mean;RT BICEPS FEM_VR_mean;RT MED GASTRO_REAL_mean;RT MED GASTRO_VR_mean;RT VLO_REAL_mean;RT VLO_VR_mean
1;6.807854038558396;6.8576923804475465;18.069025908049795;17.854683777947628;14.307054158950503;21.097397116109985
2;5.544503685688366;6.025878217883744;15.8939562161507;17.057781056359225;15.305492674587693;13.584213982346817
3;8.62805626137248;7.383140778103265;15.30631458146754;21.216603713571665;12.069627536872593;14.951844005350969
4;9.245100534236009;8.026051163508862;17.756590522255596;16.225613075196687;12.547562239116365;18.11938135067395
5;5.0137311752471865;8.64772530458014;17.80722498483141;17.841477939023704;19.09270796343777;19.83334205891497
6;9.23589667124564;6.32445889756008;18.27325141630402;15.816158117178574;15.247722467154858;17.825312404106864
7;4.5881974428693875;6.561859307433162;15.86133204727328;17.49388620296339;14.057888419604948;19.123975699476432
8;7.639883670319796;8.01060255000723;19.421700376561063;19.677411629900217;13.57392879102609;14.779953076127596
9;6.017681825977536;6.62258330262755;17.629545143288226;17.6621676950386;16.161552282537127;18.65219386647045
10;7.698847333344844;7.078652119509326;18.423612447248388;18.82061409106249;15.092028970652583;20.836500539772196
11;6.510645366825489;6.045530212492658;16.604085830544022;15.42203414257078;18.934721970469248;19.363027219955352
12;7.183036455235669;7.438107861250195;17.090349792565355;18.81943849620229;14.50157672788742;15.491792954541248
